Id,Date,Time,League,Home,Away,Round,Season,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Goals_Minutes_Home,Goals_Minutes_Away
jacJLL1G,2002-09-07,15:00,EUROPE - EURO,Belgium,Bulgaria,QUALIFICATION,2004,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
4GblSs6a,2002-09-07,15:00,EUROPE - EURO,San Marino,Poland,QUALIFICATION,2004,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
066jfcfG,2002-09-07,15:15,EUROPE - EURO,Bosnia & Herzegovina,Romania,QUALIFICATION,2004,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
E1pFVtR4,2002-09-07,15:15,EUROPE - EURO,Slovenia,Malta,QUALIFICATION,2004,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
x6dC3Rxl,2002-09-07,15:30,EUROPE - EURO,Netherlands,Belarus,QUALIFICATION,2004,2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
A7hqpyqr,2002-09-07,15:45,EUROPE - EURO,Greece,Spain,QUALIFICATION,2004,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
IPNRvFva,2002-09-08,11:00,EUROPE - EURO,Switzerland,Georgia,QUALIFICATION,2004,4,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
YLHZd5Y4,2002-09-08,12:00,EUROPE - EURO,Liechtenstein,North Macedonia,QUALIFICATION,2004,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
KEJO2ohf,2002-10-12,10:30,EUROPE - EURO,Moldova,Czech Republic,QUALIFICATION,2004,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],"[69, 79]"
2ZAdOvxS,2002-10-12,11:00,EUROPE - EURO,Iceland,Scotland,QUALIFICATION,2004,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
MyR0R1L5,2002-10-12,11:00,EUROPE - EURO,Sweden,Hungary,QUALIFICATION,2004,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
Y7KVKuHM,2002-10-12,12:00,EUROPE - EURO,Bulgaria,Croatia,QUALIFICATION,2004,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
2w9T1570,2002-10-12,12:30,EUROPE - EURO,Belarus,Austria,QUALIFICATION,2004,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
fixpU9af,2002-10-12,13:00,EUROPE - EURO,Finland,Azerbaijan,QUALIFICATION,2004,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
63FHJbpq,2002-10-12,13:00,EUROPE - EURO,Lithuania,Faroe Islands,QUALIFICATION,2004,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
hGFeqebl,2002-10-12,13:00,EUROPE - EURO,Ukraine,Greece,QUALIFICATION,2004,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
fHuET0tB,2002-10-12,14:00,EUROPE - EURO,Malta,Israel,QUALIFICATION,2004,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
jspndPmB,2002-10-12,14:00,EUROPE - EURO,North Macedonia,Turkey,QUALIFICATION,2004,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
40G5QLzC,2002-10-12,14:00,EUROPE - EURO,Poland,Latvia,QUALIFICATION,2004,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
rFT2gH9M,2002-10-12,14:00,EUROPE - EURO,Romania,Norway,QUALIFICATION,2004,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
0jO7hyPS,2002-10-12,14:15,EUROPE - EURO,Denmark,Luxembourg,QUALIFICATION,2004,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
Y5Zjeq3H,2002-10-12,14:30,EUROPE - EURO,Slovakia,England,QUALIFICATION,2004,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
buJQxZg5,2002-10-12,15:00,EUROPE - EURO,Albania,Switzerland,QUALIFICATION,2004,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
jqFzKaWS,2002-10-12,15:00,EUROPE - EURO,Andorra,Belgium,QUALIFICATION,2004,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
xtVISKeH,2002-10-12,15:45,EUROPE - EURO,France,Slovenia,QUALIFICATION,2004,5,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
xGRlTTE0,2002-10-12,15:45,EUROPE - EURO,Italy,Serbia and Montenegro,QUALIFICATION,2004,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
zu50rFDf,2002-10-12,16:45,EUROPE - EURO,Spain,Northern Ireland,QUALIFICATION,2004,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
GtDX0PM6,2002-10-16,11:30,EUROPE - EURO,Czech Republic,Belarus,QUALIFICATION,2004,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[6, 23]",[]
hh12FJvp,2002-10-16,12:00,EUROPE - EURO,Bulgaria,Andorra,QUALIFICATION,2004,2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
t48Vyg9B,2002-10-16,12:00,EUROPE - EURO,Russia,Albania,QUALIFICATION,2004,4,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
lr94sZS0,2002-10-16,14:00,EUROPE - EURO,Greece,Armenia,QUALIFICATION,2004,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
ljVhSmU6,2002-10-16,14:00,EUROPE - EURO,Serbia and Montenegro,Finland,QUALIFICATION,2004,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
CdYff3IN,2002-10-16,14:30,EUROPE - EURO,Turkey,Liechtenstein,QUALIFICATION,2004,5,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
dM9wmFnj,2002-10-16,15:00,EUROPE - EURO,Luxembourg,Romania,QUALIFICATION,2004,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
2aAZmeXq,2002-10-16,15:00,EUROPE - EURO,Norway,Bosnia & Herzegovina,QUALIFICATION,2004,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
pfELIIak,2002-10-16,15:10,EUROPE - EURO,Iceland,Lithuania,QUALIFICATION,2004,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
A3Cy0qxD,2002-10-16,15:30,EUROPE - EURO,Austria,Netherlands,QUALIFICATION,2004,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
nF06Ewfj,2002-10-16,15:30,EUROPE - EURO,Estonia,Belgium,QUALIFICATION,2004,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
vHDPHxFe,2002-10-16,15:30,EUROPE - EURO,Germany,Faroe Islands,QUALIFICATION,2004,2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
riF9PujI,2002-10-16,15:30,EUROPE - EURO,Hungary,San Marino,QUALIFICATION,2004,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
Kf7ZzDOH,2002-10-16,15:30,EUROPE - EURO,Ireland,Switzerland,QUALIFICATION,2004,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
GWTMRvBN,2002-10-16,15:45,EUROPE - EURO,Malta,France,QUALIFICATION,2004,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
rDUdR7qD,2002-10-16,15:45,EUROPE - EURO,Wales,Italy,QUALIFICATION,2004,2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
tWxagNXT,2002-10-16,16:00,EUROPE - EURO,England,North Macedonia,QUALIFICATION,2004,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
r588tgr7,2002-10-16,16:00,EUROPE - EURO,Northern Ireland,Ukraine,QUALIFICATION,2004,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
M3T0QRbJ,2002-11-20,12:00,EUROPE - EURO,Azerbaijan,Wales,QUALIFICATION,2004,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
p6YQQbQT,2002-11-20,14:00,EUROPE - EURO,Cyprus,Malta,QUALIFICATION,2004,2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
xSTCOa5O,2002-11-20,16:00,EUROPE - EURO,San Marino,Latvia,QUALIFICATION,2004,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
46NkZJ2J,2003-02-12,11:30,EUROPE - EURO,Serbia and Montenegro,Azerbaijan,QUALIFICATION,2004,1,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
Me7CuDcD,2003-03-29,11:00,EUROPE - EURO,Armenia,Northern Ireland,QUALIFICATION,2004,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
lUBwzXwO,2003-03-29,12:00,EUROPE - EURO,Georgia,Ireland,QUALIFICATION,2004,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
hKHTGdU1,2003-03-29,12:00,EUROPE - EURO,Scotland,Iceland,QUALIFICATION,2004,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
rcMgYwIP,2003-03-29,12:30,EUROPE - EURO,Wales,Azerbaijan,QUALIFICATION,2004,3,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
APDsnZ1d,2003-03-29,13:00,EUROPE - EURO,Romania,Denmark,QUALIFICATION,2004,1,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
lfBua3iJ,2003-03-29,13:30,EUROPE - EURO,Belarus,Moldova,QUALIFICATION,2004,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
SKAsZjgU,2003-03-29,14:00,EUROPE - EURO,Albania,Russia,QUALIFICATION,2004,1,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
nFKhMIYp,2003-03-29,14:00,EUROPE - EURO,Cyprus,Israel,QUALIFICATION,2004,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
p0J9Dc9d,2003-03-29,14:30,EUROPE - EURO,Croatia,Belgium,QUALIFICATION,2004,1,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
ruPQlsto,2003-03-29,14:30,EUROPE - EURO,Liechtenstein,England,QUALIFICATION,2004,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
bsKKut72,2003-03-29,15:00,EUROPE - EURO,Germany,Lithuania,QUALIFICATION,2004,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
l2RHDQIo,2003-03-29,15:00,EUROPE - EURO,North Macedonia,Slovakia,QUALIFICATION,2004,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
2VE34dzE,2003-03-29,15:00,EUROPE - EURO,Ukraine,Spain,QUALIFICATION,2004,1,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
GISGNJKU,2003-03-29,16:00,EUROPE - EURO,Poland,Hungary,QUALIFICATION,2004,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
GnGYAIvc,2003-03-29,16:15,EUROPE - EURO,Bosnia & Herzegovina,Luxembourg,QUALIFICATION,2004,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
IR8BMnUJ,2003-03-29,16:30,EUROPE - EURO,Netherlands,Czech Republic,QUALIFICATION,2004,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[45],[68]
hxNqo2Bo,2003-03-29,16:45,EUROPE - EURO,France,Malta,QUALIFICATION,2004,2,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
0x9LTcQt,2003-03-29,17:00,EUROPE - EURO,Italy,Finland,QUALIFICATION,2004,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
